term_id,langs,country,term,type,code_lang,hl,gl,Collection_date,Result_number,Link,coding_completion_date,correctness_link,Site_type,Content_producer,recent_information,prop_recent_information,author_background,prop_author_background,major_scientific_errors,prop_major_scientific_errors,accuracy_scientific_content,prop_accuracy_scientific_content,high_scientific_lang,explanations_scientific_terms,Jargon_score,prop_Jargon_score,required_scientific_background,prop_required_scientific_background,sources_available,1_None,2_Others,3_Interaction_option,4_Graphs,5_multimedia,6_Hyper_links,7_Numerical_data,8_sources,9_references_literature,Quality_component_score,prop_Quality_component_score,Accessibility_component_score,prop_Accessibility_component_score,prop_Quality_mean,prop_Accessibility_mean,reject_or_reinforce_conspiracy_theory,prop_reject_or_reinforce_conspiracy_theory,malicious_meaning,prop_malicious_meaning,claims_contradict_accepted_scientific_explanations,prop_claims_contradict_accepted_scientific_explanations,specific_groups_presented_as_enemy,prop_specific_groups_presented_as_enemy,prop_Conspiratorial_mean,daily_reference,prop_daily_reference,local_examples,prop_local_examples,advantages_and_disadvantages_or_risks_and_benefits,prop_advantages_and_disadvantages_or_risks_and_benefits,prop_SSI_mean 
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,8,https://hindi.mongabay.com/2022/04/26/misinformation-leads-to-misperception-polarisation-causing-delay-in-climate-action-ipcc-report-2/,3.11.2022,1,5,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,"5,6",0,0,0,0,1,1,0,1,0,0,0,2,0.5,0.666666667,0.75,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,9,https://rochhak.com/2021/09/climate-change-in-hindi.html,3.11.2022,1,5,17,4,1,2,0.666666667,2,1,,,2,,3,1,,,"3,5,6",0,0,1,0,1,1,0,1,0,0,0,3,0.75,0.666666667,0.875,3,1,3,1,3,1,3,1,1,,,,,,,
74-B,Hindi,"New Delhi,Delhi,India",जलवायु परिवर्तन एक झूठ है,Conspiracy Theories,hi,hi,in,18.8.2022,10,https://hindi.oneindia.com/news/international/temperatures-in-the-middle-east-have-risen-far-faster-than-the-world-s-average-in-the-past-three-dec-697431.html,3.11.2022,1,5,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,"3,5",0,0,1,0,1,0,0,1,0,0,0,2,0.5,0.666666667,0.75,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,1,https://www.cdc.gov/vaccinesafety/concerns/autism.html,3.11.2022,1,1,1,4,1,3,1,2,1,,,2,2,2,0.666666667,,,"6,7,8,9",0,0,0,0,0,1,1,1,1,3,1,1,0.25,1,0.458333333,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,2,https://helloswasthya.com/parenting/child-health/vaccines/child-vaccination-ke-baare-me-myths-or-facts/,3.11.2022,1,1,11,4,1,2,0.666666667,2,1,,,2,,3,1,,,6,0,0,0,0,0,1,0,1,0,0,0,1,0.25,0.666666667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,3,https://historyofvaccines.org/getting-vaccinated/vaccine-faq/do-vaccines-cause-autism,3.11.2022,1,1,5,4,1,2,0.666666667,2,1,,,1,1,1,0.333333333,,,"6,7,8,9",0,0,0,0,0,1,1,1,1,3,1,1,0.25,0.916666667,0.291666667,2,0.666666667,3,1,2,0.666666667,3,1,0.833333333,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,4,https://www.hsph.harvard.edu/india-center/faqs-vaccine-hindi/,3.11.2022,1,5,5,4,1,3,1,2,1,,,2,,3,1,,,"5,8,9",0,0,0,0,1,0,0,1,1,2,0.666666667,1,0.25,0.916666667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,5,https://www.thehealthsite.com/hindi/diseases-conditions/autism/,3.11.2022,1,1,11,4,1,3,1,2,1,,,2,,3,1,,,8,0,0,0,0,0,0,0,1,0,1,0.333333333,0,0,0.833333333,0.5,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,6,https://www.livehealthily.com/hi-in/autism,3.11.2022,1,1,16,1,0.25,2,0.666666667,2,1,,,2,,3,1,,,6,0,0,0,0,0,1,0,1,0,0,0,1,0.25,0.479166667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
77-B,Hindi,"New Delhi,Delhi,India",वैक्सीन से आटिज्म आती है,Conspiracy Theories,hi,hi,in,18.8.2022,7,https://www2.gov.bc.ca/gov/content/covid-19/translation/hi/children,3.11.2022,1,1,1,4,1,2,0.666666667,2,1,,,2,,3,1,,,6,0,0,0,0,0,1,0,1,0,0,0,1,0.25,0.666666667,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
